service_id,date,exception_type
2.109.100.2757.2877,20200621,1
2.109.100.2757.2877,20200624,1
2.109.100.2757.2877,20200628,1
2.109.100.2757.2877,20200705,1
2.109.100.2757.2877,20200712,1
2.109.100.2757.2877,20200719,1
2.109.100.2757.2877,20200726,1
2.109.100.2757.2877,20200802,1
2.109.100.2757.2877,20200809,1
2.109.100.2757.2877,20200815,1
2.109.100.2757.2877,20200816,1
2.109.100.2757.2877,20200823,1
2.109.100.2757.2877,20200830,1
2.109.100.2757.2877,20200906,1
2.109.100.2757.2877,20200911,1
2.109.100.2757.2877,20200913,1
2.109.100.2757.2877,20200920,1
2.109.100.2757.2877,20200924,1
2.109.100.2757.2877,20200927,1
2.109.100.2757.2877,20201004,1
2.109.100.2757.2877,20201011,1
2.109.100.2757.2877,20201012,1
2.109.100.2757.2877,20201018,1
2.109.100.2757.2877,20201025,1
2.109.100.2757.2877,20201101,1
2.109.100.2757.2877,20201108,1
2.109.100.2757.2877,20201115,1
2.109.100.2757.2877,20201122,1
2.109.100.2757.2877,20201129,1
2.109.100.2757.2877,20201206,1
2.109.100.2757.2877,20201208,1
2.109.100.2757.2877,20201213,1
2.109.100.2757.2877,20201220,1
2.109.100.2757.2877,20201225,1
2.109.100.2757.2877,20201226,1
2.109.100.2757.2877,20201227,1
2.109.100.2757.2877,20210103,1
2.109.100.2757.2877,20210110,1
2.109.100.2757.2877,20210117,1
2.109.100.2757.2877,20210124,1
2.109.100.2757.2877,20210131,1
2.109.100.2757.2877,20210207,1
2.109.147.3072.2877,20200620,1
2.109.147.3072.2877,20200627,1
2.109.147.3072.2877,20200704,1
2.109.147.3072.2877,20200711,1
2.109.147.3072.2877,20200718,1
2.109.147.3072.2877,20200725,1
2.109.147.3072.2877,20200801,1
2.109.147.3072.2877,20200808,1
2.109.147.3072.2877,20200822,1
2.109.147.3072.2877,20200829,1
2.109.147.3072.2877,20200905,1
2.109.147.3072.2877,20200912,1
2.109.147.3072.2877,20200919,1
2.109.147.3072.2877,20200926,1
2.109.147.3072.2877,20201003,1
2.109.147.3072.2877,20201010,1
2.109.147.3072.2877,20201017,1
2.109.147.3072.2877,20201024,1
2.109.147.3072.2877,20201031,1
2.109.147.3072.2877,20201107,1
2.109.147.3072.2877,20201114,1
2.109.147.3072.2877,20201121,1
2.109.147.3072.2877,20201128,1
2.109.147.3072.2877,20201205,1
2.109.147.3072.2877,20201212,1
2.109.147.3072.2877,20201219,1
2.109.147.3072.2877,20210102,1
2.109.147.3072.2877,20210109,1
2.109.147.3072.2877,20210116,1
2.109.147.3072.2877,20210123,1
2.109.147.3072.2877,20210130,1
2.109.147.3072.2877,20210206,1
2.109.147.3072.2877,20210213,1
2.109.84.3159.2877,20200619,1
2.109.84.3159.2877,20200626,1
2.109.84.3159.2877,20200629,1
2.109.84.3159.2877,20200630,1
2.109.84.3159.2877,20200701,1
2.109.84.3159.2877,20200702,1
2.109.84.3159.2877,20200703,1
2.109.84.3159.2877,20200706,1
2.109.84.3159.2877,20200707,1
2.109.84.3159.2877,20200708,1
2.109.84.3159.2877,20200709,1
2.109.84.3159.2877,20200710,1
2.109.84.3159.2877,20200713,1
2.109.84.3159.2877,20200714,1
2.109.84.3159.2877,20200715,1
2.109.84.3159.2877,20200716,1
2.109.84.3159.2877,20200717,1
2.109.84.3159.2877,20200720,1
2.109.84.3159.2877,20200721,1
2.109.84.3159.2877,20200722,1
2.109.84.3159.2877,20200723,1
2.109.84.3159.2877,20200724,1
2.109.84.3159.2877,20200727,1
2.109.84.3159.2877,20200728,1
2.109.84.3159.2877,20200729,1
2.109.84.3159.2877,20200730,1
2.109.84.3159.2877,20200731,1
2.109.84.3159.2877,20200803,1
2.109.84.3159.2877,20200804,1
2.109.84.3159.2877,20200805,1
2.109.84.3159.2877,20200806,1
2.109.84.3159.2877,20200807,1
2.109.84.3159.2877,20200810,1
2.109.84.3159.2877,20200811,1
2.109.84.3159.2877,20200812,1
2.109.84.3159.2877,20200813,1
2.109.84.3159.2877,20200814,1
2.109.84.3159.2877,20200817,1
2.109.84.3159.2877,20200818,1
2.109.84.3159.2877,20200819,1
2.109.84.3159.2877,20200820,1
2.109.84.3159.2877,20200821,1
2.109.84.3159.2877,20200824,1
2.109.84.3159.2877,20200825,1
2.109.84.3159.2877,20200826,1
2.109.84.3159.2877,20200827,1
2.109.84.3159.2877,20200828,1
2.109.84.3159.2877,20200831,1
2.109.84.3159.2877,20200901,1
